# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-01-10 18:07:16 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10172200 RED BUTTE CREEK AT FORT DOUGLAS, NEAR SLC, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10172200
#            TS   parameter     statistic     Description
#        143725       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143725_00060_00003	143725_00060_00003_cd
USGS	10172200	2023-04-18	20.8	A
USGS	10172200	2023-04-19	18.4	A
USGS	10172200	2023-04-20	16.1	A
USGS	10172200	2023-04-21	14.3	A
USGS	10172200	2023-04-22	13.0	A
USGS	10172200	2023-04-23	12.5	A
USGS	10172200	2023-04-24	13.3	A
USGS	10172200	2023-04-25	14.5	A
USGS	10172200	2023-04-26	14.9	A
USGS	10172200	2023-04-27	18.3	A
USGS	10172200	2023-04-28	22.0	A
USGS	10172200	2023-04-29	25.3	A
USGS	10172200	2023-04-30	30.9	A
USGS	10172200	2023-05-01	39.3	A
USGS	10172200	2023-05-02	44.6	A
USGS	10172200	2023-05-03	46.1	A
USGS	10172200	2023-05-04	46.2	A
USGS	10172200	2023-05-05	42.7	A
USGS	10172200	2023-05-06	38.0	A
USGS	10172200	2023-05-07	34.1	A
USGS	10172200	2023-05-08	32.9	A
USGS	10172200	2023-05-09	33.9	A
USGS	10172200	2023-05-10	35.1	A
USGS	10172200	2023-05-11	34.4	A
USGS	10172200	2023-05-12	33.3	A
USGS	10172200	2023-05-13	33.8	A
USGS	10172200	2023-05-14	34.9	A
USGS	10172200	2023-05-15	34.7	A
USGS	10172200	2023-05-16	33.1	A
USGS	10172200	2023-05-17	30.3	A
USGS	10172200	2023-05-18	27.6	A
USGS	10172200	2023-05-19	25.3	A
USGS	10172200	2023-05-20	23.6	A
USGS	10172200	2023-05-21	22.1	A
USGS	10172200	2023-05-22	21.2	A
USGS	10172200	2023-05-23	20.5	A
USGS	10172200	2023-05-24	18.9	A
USGS	10172200	2023-05-25	18.2	A
USGS	10172200	2023-05-26	17.6	A
USGS	10172200	2023-05-27	16.9	A
USGS	10172200	2023-05-28	16.3	A
USGS	10172200	2023-05-29	15.6	A
USGS	10172200	2023-05-30	14.9	A
USGS	10172200	2023-05-31	14.4	A
USGS	10172200	2023-06-01	13.8	A
USGS	10172200	2023-06-02	13.2	A
USGS	10172200	2023-06-03	12.8	A
USGS	10172200	2023-06-04	12.2	A
USGS	10172200	2023-06-05	11.7	A
USGS	10172200	2023-06-06	11.3	A
USGS	10172200	2023-06-07	11.0	A
USGS	10172200	2023-06-08	10.5	A
USGS	10172200	2023-06-09	10.1	A
USGS	10172200	2023-06-10	9.79	A
USGS	10172200	2023-06-11	9.60	A
USGS	10172200	2023-06-12	9.38	A
USGS	10172200	2023-06-13	9.15	A
USGS	10172200	2023-06-14	8.93	A
USGS	10172200	2023-06-15	9.11	A
USGS	10172200	2023-06-16	8.60	A
USGS	10172200	2023-06-17	8.26	A
USGS	10172200	2023-06-18	7.97	A
USGS	10172200	2023-06-19	7.71	A
USGS	10172200	2023-06-20	7.74	A
USGS	10172200	2023-06-21	7.49	A
USGS	10172200	2023-06-22	7.22	A
USGS	10172200	2023-06-23	7.00	A
USGS	10172200	2023-06-24	6.87	A
USGS	10172200	2023-06-25	6.64	A
USGS	10172200	2023-06-26	6.43	A
USGS	10172200	2023-06-27	6.30	A
USGS	10172200	2023-06-28	6.20	A
USGS	10172200	2023-06-29	6.05	A
USGS	10172200	2023-06-30	5.92	A
USGS	10172200	2023-07-01	5.73	A
USGS	10172200	2023-07-02	5.57	A
USGS	10172200	2023-07-03	5.41	A
USGS	10172200	2023-07-04	5.30	A
USGS	10172200	2023-07-05	5.18	A
USGS	10172200	2023-07-06	5.10	A
USGS	10172200	2023-07-07	4.91	A
USGS	10172200	2023-07-08	4.75	A
USGS	10172200	2023-07-09	4.61	A
USGS	10172200	2023-07-10	4.49	A
USGS	10172200	2023-07-11	4.37	A
USGS	10172200	2023-07-12	4.28	A
USGS	10172200	2023-07-13	4.18	A
USGS	10172200	2023-07-14	4.09	A
USGS	10172200	2023-07-15	3.97	A
USGS	10172200	2023-07-16	3.85	A
USGS	10172200	2023-07-17	3.72	A
USGS	10172200	2023-07-18	3.65	A
USGS	10172200	2023-07-19	3.63	A
USGS	10172200	2023-07-20	3.59	A
USGS	10172200	2023-07-21	3.45	A
USGS	10172200	2023-07-22	3.33	A
USGS	10172200	2023-07-23	3.22	A
USGS	10172200	2023-07-24	3.16	A
USGS	10172200	2023-07-25	3.15	A
USGS	10172200	2023-07-26	3.10	A
USGS	10172200	2023-07-27	3.05	A
USGS	10172200	2023-07-28	2.96	A
USGS	10172200	2023-07-29	2.89	A
USGS	10172200	2023-07-30	2.85	A
USGS	10172200	2023-07-31	2.81	A
USGS	10172200	2023-08-01	2.81	A
USGS	10172200	2023-08-02	3.19	A
USGS	10172200	2023-08-03	3.18	A
USGS	10172200	2023-08-04	3.26	A
USGS	10172200	2023-08-05	2.94	A
USGS	10172200	2023-08-06	2.85	A
USGS	10172200	2023-08-07	2.99	A
USGS	10172200	2023-08-08	3.24	A
USGS	10172200	2023-08-09	3.17	A
USGS	10172200	2023-08-10	3.07	A
USGS	10172200	2023-08-11	3.03	A
USGS	10172200	2023-08-12	2.98	A
USGS	10172200	2023-08-13	2.92	A
USGS	10172200	2023-08-14	2.84	A
USGS	10172200	2023-08-15	2.79	A
USGS	10172200	2023-08-16	2.73	A
USGS	10172200	2023-08-17	2.72	A
USGS	10172200	2023-08-18	2.71	A
USGS	10172200	2023-08-19	2.70	A
USGS	10172200	2023-08-20	2.74	A
USGS	10172200	2023-08-21	2.76	A
USGS	10172200	2023-08-22	2.90	A
USGS	10172200	2023-08-23	2.80	A
USGS	10172200	2023-08-24	2.70	A
USGS	10172200	2023-08-25	2.61	A
USGS	10172200	2023-08-26	2.52	A
USGS	10172200	2023-08-27	2.46	A
USGS	10172200	2023-08-28	2.42	A
USGS	10172200	2023-08-29	2.35	A
USGS	10172200	2023-08-30	2.33	A
USGS	10172200	2023-08-31	2.30	A
USGS	10172200	2023-09-01	2.30	A
USGS	10172200	2023-09-02	2.35	A
USGS	10172200	2023-09-03	2.31	A
USGS	10172200	2023-09-04	2.99	A
USGS	10172200	2023-09-05	2.55	A
USGS	10172200	2023-09-06	2.41	A
USGS	10172200	2023-09-07	2.32	A
USGS	10172200	2023-09-08	2.25	A
USGS	10172200	2023-09-09	2.23	A
USGS	10172200	2023-09-10	2.21	A
USGS	10172200	2023-09-11	2.17	A
USGS	10172200	2023-09-12	2.14	A
USGS	10172200	2023-09-13	2.17	A
USGS	10172200	2023-09-14	2.15	A
USGS	10172200	2023-09-15	2.12	A
USGS	10172200	2023-09-16	2.10	A
USGS	10172200	2023-09-17	2.04	A
USGS	10172200	2023-09-18	2.02	A
USGS	10172200	2023-09-19	2.00	A
USGS	10172200	2023-09-20	1.99	A
USGS	10172200	2023-09-21	2.03	A
USGS	10172200	2023-09-22	2.28	A
USGS	10172200	2023-09-23	2.13	A
USGS	10172200	2023-09-24	2.07	A
USGS	10172200	2023-09-25	2.00	A
USGS	10172200	2023-09-26	1.97	A
USGS	10172200	2023-09-27	1.92	A
USGS	10172200	2023-09-28	1.94	A
USGS	10172200	2023-09-29	1.92	A
USGS	10172200	2023-09-30	1.87	A
USGS	10172200	2023-10-01	1.98	A
USGS	10172200	2023-10-02	2.57	A
USGS	10172200	2023-10-03	2.23	A
USGS	10172200	2023-10-04	2.18	A
USGS	10172200	2023-10-05	2.07	A
USGS	10172200	2023-10-06	2.02	A
USGS	10172200	2023-10-07	2.00	A
USGS	10172200	2023-10-08	1.97	A
USGS	10172200	2023-10-09	1.94	A
USGS	10172200	2023-10-10	1.89	A
USGS	10172200	2023-10-11	2.29	A
USGS	10172200	2023-10-12	2.27	A
USGS	10172200	2023-10-13	2.10	A
USGS	10172200	2023-10-14	2.04	A
USGS	10172200	2023-10-15	1.97	A
USGS	10172200	2023-10-16	1.96	A
USGS	10172200	2023-10-17	1.95	A
USGS	10172200	2023-10-18	1.91	A
USGS	10172200	2023-10-19	1.92	A
USGS	10172200	2023-10-20	1.90	A
USGS	10172200	2023-10-21	1.89	A
USGS	10172200	2023-10-22	1.90	A
USGS	10172200	2023-10-23	1.90	A
USGS	10172200	2023-10-24	1.91	A
USGS	10172200	2023-10-25	1.87	A
USGS	10172200	2023-10-26	2.18	A
USGS	10172200	2023-10-27	2.04	A
USGS	10172200	2023-10-28	1.96	A
USGS	10172200	2023-10-29	1.91	A
USGS	10172200	2023-10-30	1.90	A
USGS	10172200	2023-10-31	1.83	A
USGS	10172200	2023-11-01	1.83	A
USGS	10172200	2023-11-02	1.83	A
USGS	10172200	2023-11-03	1.82	A
USGS	10172200	2023-11-04	1.83	A
USGS	10172200	2023-11-05	1.82	A
USGS	10172200	2023-11-06	1.82	A
USGS	10172200	2023-11-07	1.91	A
USGS	10172200	2023-11-08	1.92	A
USGS	10172200	2023-11-09	1.89	A
USGS	10172200	2023-11-10	1.87	A
USGS	10172200	2023-11-11	1.84	A
USGS	10172200	2023-11-12	1.82	A
USGS	10172200	2023-11-13	1.81	A
USGS	10172200	2023-11-14	1.80	A
USGS	10172200	2023-11-15	1.78	A
USGS	10172200	2023-11-16	2.24	A
USGS	10172200	2023-11-17	2.04	A
USGS	10172200	2023-11-18	2.00	A
USGS	10172200	2023-11-19	2.19	A
USGS	10172200	2023-11-20	2.11	A
USGS	10172200	2023-11-21	2.01	A
USGS	10172200	2023-11-22	1.94	A
USGS	10172200	2023-11-23	1.94	A
USGS	10172200	2023-11-24	1.93	A
USGS	10172200	2023-11-25	1.86	A
USGS	10172200	2023-11-26	1.82	A
USGS	10172200	2023-11-27	1.79	A:e
USGS	10172200	2023-11-28	1.77	A:e
USGS	10172200	2023-11-29	1.75	A:e
USGS	10172200	2023-11-30	1.71	A
